Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.001890 seconds
Method: GET, Path: /static/admin/css/nav_sidebar.css, View function: None, Status code: 404, Time taken: 0.000798 seconds
Method: GET, Path: /static/admin/js/nav_sidebar.js, View function: None, Status code: 404, Time taken: 0.003480 seconds
Method: GET, Path: /static/admin/css/login.css, View function: None, Status code: 404, Time taken: 0.000926 seconds
Method: GET, Path: /static/admin/css/responsive.css, View function: None, Status code: 404, Time taken: 0.000706 seconds
Method: GET, Path: /admin/login/, View function: login, Status code: 200, Time taken: 0.019556 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.000953 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.000820 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.000437 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.000672 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.000639 seconds
Method: GET, Path: /static, View function: None, Status code: 404, Time taken: 0.000449 seconds
Method: GET, Path: /static/css, View function: None, Status code: 404, Time taken: 0.000373 seconds
Method: GET, Path: /static/css/style.css, View function: None, Status code: 404, Time taken: 0.000487 seconds
Method: GET, Path: /static/css/style.css, View function: None, Status code: 404, Time taken: 0.000353 seconds
Method: GET, Path: /static/css/style.css, View function: None, Status code: 404, Time taken: 0.000501 seconds
Method: GET, Path: /static/css/style.css, View function: None, Status code: 404, Time taken: 0.000528 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.000327 seconds
